id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R36,RETENCION 10% Renta,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R37,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R38,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R39,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R40,RETENCION 10% Renta,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R41,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R42,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R43,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_03,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R44,RETENCION 10% Renta,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R45,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R46,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R47,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R48,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R49,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_01,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R50,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R51,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R52,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R53,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R54,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_02,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R55,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_03,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R56,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R57,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
R58,RETENCION 8% Renta Compra 304,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_02,withholding_odoo.w12,withholding_odoo.4,withholding_odoo.category_1
